
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000167                       # Number of seconds simulated (Second)
system.cpu.MemDepUnit__1.readsPath5                 0                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__1.readsPath6                 0                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__1.readsPath7                 0                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__1.readsPath8                 0                       # Number of reads to path table 8. (Count)
system.cpu.MemDepUnit__1.writesPath1                0                       # Number of writes to path table 1. (Count)
system.cpu.MemDepUnit__1.writesPath2                0                       # Number of writes to path table 2. (Count)
system.cpu.MemDepUnit__1.writesPath3                0                       # Number of writes to path table 3. (Count)
system.cpu.MemDepUnit__1.writesPath4                0                       # Number of writes to path table 4. (Count)
system.cpu.MemDepUnit__1.writesPath5                0                       # Number of writes to path table 5. (Count)
system.cpu.MemDepUnit__1.writesPath6                0                       # Number of writes to path table 6. (Count)
system.cpu.MemDepUnit__1.writesPath7                0                       # Number of writes to path table 7. (Count)
system.cpu.MemDepUnit__1.writesPath8                0                       # Number of writes to path table 8. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.falseDependencies            0                       # Number of times load's address didn't match predicted store's address (Count)
system.cpu.MemDepUnit__2.correctPredictions            0                       # Number of times load's address did match predicted store's address (Count)
system.cpu.MemDepUnit__2.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__2.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__2.readsPath1                 0                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__2.readsPath2                 0                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__2.readsPath3                 0                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__2.readsPath4                 0                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__2.readsPath5                 0                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__2.readsPath6                 0                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__2.readsPath7                 0                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__2.readsPath8                 0                       # Number of reads to path table 8. (Count)
system.cpu.MemDepUnit__2.writesPath1                0                       # Number of writes to path table 1. (Count)
